owner	status	method_count	first_line	last_line
TGraphicsInterface	todo	38	761692	779132
TParticleEmitter	todo	12	766025	771112
TParticleSystem	todo	8	766096	771351
TVector3D	todo	11	766335	767008
kexVec3	todo	10	766711	1374068
TMatrix3	todo	13	767045	767700
idMat3	todo	2	767217	767742
TMatrix4	todo	21	767828	769325
TCutRect	todo	7	771519	772531
TSpriteHandle	todo	7	772635	775729
MaxRectsBinPack	todo	20	773548	1445275
TTextureHandle	todo	1	776718	776718
TPreloadedPicManager	todo	15	779878	781717
TPictureIO	stub	43	785258	791178
vertex_array_holder	todo	10	791467	813209
Point	todo	1	812943	812943
TPicturePreloader	todo	6	813783	814106
TPicturePCX	todo	7	814343	815468
TPictureGIF	todo	8	868003	869035
soundengine::AudioDataSourceWave	todo	8	1050406	1053847
soundengine::AudioDataSourceFFMPEG	todo	8	1050626	1057049
TSoundBase	todo	42	1050713	1105856
soundengine::AudioDataSourceOggOpus	todo	8	1051132	1053880
soundengine::AudioDataSourceOggVorbis	todo	8	1051269	1053864
soundengine::priv::AudioDevice	todo	4	1051511	1053547
TSoundFFMPEG	todo	13	1053026	1059852
soundengine::priv	todo	1	1053563	1053563
soundengine::AudioDataSource	todo	3	1053920	1059870
soundengine::Stream	todo	24	1054049	1056675
TFFMPEGSoundItem	todo	16	1054181	1060292
mysqlpp::Exception	todo	1	1060074	1060074
TSoundItem	todo	1	1060122	1060122
TSteamSDK	todo	19	1075092	1077877
TV_CCallbackImpl<DlcInstalled_t>	todo	3	1077952	1078057
TV_CCallbackImpl<GetAuthSessionTicketResponse_t>	todo	3	1077987	1078083
TV_CCallbackImpl<ValidateAuthTicketResponse_t>	todo	3	1078022	1078109
soundengine::AudioBus	todo	12	1078446	1089418
soundengine::MixBus	todo	9	1078463	1085833
soundengine::AudioSourceBus	todo	11	1078495	1088959
soundengine::RandomBus	todo	11	1078722	1085663
soundengine::SyncBus	todo	8	1078770	1082251
soundengine::AudioBusBridge	todo	6	1081079	1081370
soundengine::Automation	todo	1	1081654	1081654
soundengine::BlendTrack	todo	1	1081686	1081686
soundengine::BlendTrackLink	todo	1	1081876	1081876
soundengine::AudioBufferFactory	todo	2	1084875	1088745
hmap_iterator<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >	todo	1	1092049	1092049
TGalaxySDKOverlayInitListener	todo	4	1098866	1099669
TGalaxySDKAuthListener	todo	6	1098883	1099686
TGalaxySDK	todo	16	1098946	1100783
TGalaxySDKUserStatsAndAchievementsRetrieveListener	todo	6	1099428	1101117
galaxy::api::IGalaxyListener	todo	2	1100981	1101236
galaxy::api::GalaxyTypeAwareListener<12u>	todo	2	1100998	1101219
galaxy::api::IUserStatsAndAchievementsRetrieveListener	todo	2	1101015	1101202
galaxy::api::GalaxyTypeAwareListener<41u>	todo	2	1101032	1101185
galaxy::api::IOverlayInitializationStateChangeListener	todo	2	1101049	1101168
galaxy::api::GalaxyTypeAwareListener<7u>	todo	2	1101066	1101151
galaxy::api::IAuthListener	todo	2	1101083	1101134
TSoundInterface	todo	16	1105963	1107204
vec_info_shared	todo	2	1117192	1170549
ModelContainer	todo	13	1350921	1352056
ModelAnimation	todo	31	1353455	1354168
Model	todo	37	1354235	1365202
Animator	todo	9	1366399	1370432
aiNode	todo	3	1370653	2082432
AnimationNode	todo	1	1371017	1371017
Light	todo	8	1373667	1373832
Camera	todo	10	1373848	1374386
Tools	todo	2	1374466	1374734
TGParticleSystem	todo	4	1378274	1380801
TGParticleEmitter	todo	6	1378290	1379800
TFontManager	todo	16	1388826	1390109
TPointSize	todo	5	1390459	1390856
TCFont	todo	16	1391446	1397049
TSyntaxDocArray	todo	7	1409666	1415006
TExampleDocArray	todo	7	1410025	1415280
HashMap<TId, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >*, TIdHash>	todo	1	1428982	1428982
HashMap<long long, StringHashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, char const*, StringHash<char const*> >*, IntegerHash<int> >	todo	1	1429054	1429054
CmdGetTime	todo	4	1429970	1432060
CmdGetObject	todo	4	1430038	1431692
TArgument	todo	57	1435493	1439341
TCommandPtrArray	todo	7	1439934	1442092
TCommandQueue	todo	10	1440145	1441881
TTActionPart	todo	13	1445635	1446790
TTScene	todo	10	1446937	1448630
TTTextLanguage	todo	6	1449478	1449558
TTCondition	todo	10	1449686	1450703
TTLanguage	todo	6	1451276	1451356
TTDialog	todo	6	1451420	1451498
TTFont	todo	6	1451606	1451839
TTAnimationFrame	todo	6	1452285	1452376
TTWaySystem	todo	6	1452542	1452622
TTPoint	todo	6	1452730	1452808
TTAudioBus	todo	6	1452936	1453016
TTScriptVariable	todo	6	1453174	1453254
TTSprite	todo	7	1453443	1453570
TTModel	todo	6	1453656	1453734
TTShader	todo	6	1453841	1454001
TTText	todo	19	1454121	1460716
TTGame	todo	6	1460995	1461750
TTDialogPart	todo	7	1464912	1465354
TTEvent	todo	6	1465967	1466045
TTScript	todo	6	1466102	1466183
TTInterface	todo	7	1466290	1467119
TTInterfaceClass	todo	6	1468654	1468734
TTAreaAction	todo	6	1468831	1468968
TTActionArea	todo	6	1469106	1469186
TTCommentSet	todo	6	1469303	1469383
TTParticles	todo	6	1469492	1470952
TTParticleContainer	todo	6	1469508	1470801
TTCommentSetEntry	todo	6	1471442	1471554
TTAnimation	todo	9	1471662	1472629
TSAnimation	todo	6	1471678	1472940
TTCursor	todo	6	1473394	1473515
TTCharacter	todo	10	1473680	1475646
TTValue	todo	8	1476496	1476802
TTAction	todo	11	1477394	1478245
TSAction	todo	6	1477410	1478347
TTOutfit	todo	6	1478597	1479233
TVisionaireGame	todo	14	1480066	1523439
Event	todo	25	1523865	1602932
TVisionaireClipboard	todo	14	1524587	1532387
TTLoading	todo	6	1526228	1526307
TTClipboardObject	todo	4	1533284	1533332
Bitmap	todo	19	1547379	1563341
SwitchableComponent	todo	13	1547421	1553743
StaticLine	todo	5	1547527	1564819
Sizer	todo	8	1547559	1554349
Slider	todo	8	1547575	1564861
Tooltip	todo	10	1547607	1562690
RadioButtonCollector	todo	9	1547656	1566944
Notebook	todo	8	1547672	1560227
Bar	todo	5	1547769	1564840
StaticBox	todo	8	1547784	1565326
EmptySpace	todo	3	1547887	1553201
TabBar	todo	9	1547903	1559939
TabButton	todo	8	1547959	1567168
CheckBox	todo	17	1547993	1567688
ProgressBar	todo	9	1548132	1565110
ScrollBar	todo	10	1548213	1567018
StatusBar	todo	11	1548392	1567403
ResizerHandle	todo	7	1548506	1564998
Viewport	todo	7	1548553	1565054
Spinner	todo	18	1548767	1566928
Button	todo	14	1549865	1568518
RadioButton	todo	13	1549919	1568154
Label	todo	19	1549977	1563679
TooltipHolder	todo	9	1550435	1564069
rect	todo	4	1550941	1551115
Image	todo	7	1551762	1551850
ImageList	todo	4	1551865	1558284
GLCharBuffer	todo	2	1554155	1558629
MessageDialog	todo	6	1554593	1565990
OptionDialog	todo	6	1554709	1566210
ItemStyle	todo	5	1555412	1565222
GuiCursor	todo	2	1555454	1555470
TreeItem	todo	4	1558108	1559350
Component	todo	53	1564312	1599649
TextBox	todo	38	1564361	1651835
Tween	todo	4	1564395	1628865
DialogTitle	todo	5	1564453	1660623
EventRegisterer<int>	todo	2	1566226	1568558
Dialog	todo	21	1566281	1660920
EventRegisterer<Bitmap*>	todo	1	1568697	1568697
EventRegisterer<bool>	todo	1	1568741	1568741
EventRegisterer<Button*>	todo	1	1568792	1568792
TSpritePartTexture	todo	8	1582003	1582658
TFreetypeFont::Character	todo	1	1582280	1582280
TFreetypeFont	todo	19	1582405	1589320
BaseTexture	todo	2	1589597	1589630
FreetypeHolder	todo	1	1589613	1589613
HashMap<int, int, KeyHash<int> >	todo	2	1589687	1590100
HashMap<int, TFreetypeFont::Character, KeyHash<int> >	todo	3	1589759	1589996
Container	todo	25	1592130	1597917
BaseContainer	todo	28	1592285	1602916
ScrollPane	todo	14	1592422	1600766
EventHandler	todo	4	1592869	1599448
